variant_id,professor_id,variant_name,source,match_confidence
1,825,David Sims,courses.json,0.9
2,836,Richard Kimball,courses.json,0.9
3,3865,Chris Russell,courses.json,0.9
4,923,Joan Shrum,courses.json,0.9
5,633,Kurt Fertig,courses.json,0.9
6,71,Melissa Larson,courses.json,0.9
7,231,Michael Drake,courses.json,0.9
8,1681,Jacob Smith,courses.json,0.9
9,1394,Caleb McKay,courses.json,0.9
10,827,Morgan Cummings,courses.json,0.9
11,5021,Aaron Jacob,courses.json,0.9
12,699,Melissa Western,courses.json,0.9
13,500,Brittley Eldredge,courses.json,0.9
14,828,Abigail Allen,courses.json,0.9
15,1304,Travis Dyer,courses.json,0.9
16,1900,Jason Kotter,courses.json,0.9
17,993,Jon Kerr,courses.json,0.9
18,2116,Jeffrey Pickerd,courses.json,0.9
19,987,Zack Fox,courses.json,0.9
20,2403,Ryan Sommerfeldt,courses.json,0.9
21,1402,Cassy Budd,courses.json,0.9
22,342,Bill Heninger,courses.json,0.9
23,2165,Brian Spilker,courses.json,0.9
24,1308,Troy Lewis,courses.json,0.9
25,2305,John Barrick,courses.json,0.9
26,1132,Britt Berrett,courses.json,0.9
27,5046,Kent Johnson,courses.json,0.9
28,2037,Corban Smith,courses.json,0.9
29,681,Luke Parker,courses.json,0.9
30,3365,Charne Adams,courses.json,0.9
31,5182,Sava Cole,courses.json,0.9
32,1010,Mike Taylor,courses.json,0.9
33,1050,Dennis Cutchins,courses.json,0.9
34,139,Robert Smith,courses.json,0.9
35,662,Katya Jordan,courses.json,0.9
36,1055,Joseph Darowski,courses.json,0.9
37,407,George Pierce,courses.json,0.9
38,628,Jason Combs,courses.json,0.9
39,1126,Aaron Schade,courses.json,0.9
40,82,David Ridge,courses.json,0.9
41,672,Matthew Grey,courses.json,0.9
42,1624,Becky Schulthies,courses.json,0.9
43,243,Lynette Finau,courses.json,0.9
44,820,Jaime Bartlett,courses.json,0.9
45,3915,Jim Allison,courses.json,0.9
46,391,Mike Searcy,courses.json,0.9
47,5382,Allison Larsen,courses.json,0.9
48,5321,David Johnson,courses.json,0.9
49,5171,Emily Brunson,courses.json,0.9
50,1700,Zach Chase,courses.json,0.9
51,619,Paul Stavast,courses.json,0.9
52,111,Jacob Hickman,courses.json,0.9
53,235,Scott Ure,courses.json,0.9
54,1279,Greg Thompson,courses.json,0.9
55,5408,Elizabeth Thomas,courses.json,0.9
56,1769,Diana Duan,courses.json,0.9
57,68,Seth McCombie,courses.json,0.9
58,601,Kevin Blankinship,courses.json,0.9
59,1393,Jason Andrus,courses.json,0.9
60,2221,Spencer Scoville,courses.json,0.9
61,1007,Allan Ludwig,courses.json,0.9
62,4767,Melanie Fischer,courses.json,0.9
63,5186,Rebeca Ramirez Ozaeta,courses.json,0.9
64,331,Marissa Albrecht,courses.json,0.9
65,2605,David Raleigh,courses.json,0.9
66,890,Fidalis Buehler,courses.json,0.9
67,572,Peter Everett,courses.json,0.9
68,3214,Priscilla Stewart,courses.json,0.9
69,1219,Emily Hawkins,courses.json,0.9
70,1249,Gian Pierotti,courses.json,0.9
71,5345,Sylvia Ramachandran Skeen,courses.json,0.9
72,1426,Brian Christensen,courses.json,0.9
73,1839,Bryan Hutchison,courses.json,0.9
74,4112,Sara Kasanova Bown,courses.json,0.9
75,1311,Madeline Rupard,courses.json,0.9
76,928,Jennifer Barton,courses.json,0.9
77,1591,Mark Graham,courses.json,0.9
78,1649,Gary Barton,courses.json,0.9
79,1041,Jen Watson,courses.json,0.9
80,2146,Daniel Everett,courses.json,0.9
81,537,Christopher Lynn,courses.json,0.9
82,1044,Ron Linn,courses.json,0.9
83,1959,Collin Bradford,courses.json,0.9
84,4118,Maddison Colvin,courses.json,0.9
85,5397,Kaleb Ostraff,courses.json,0.9
86,1326,Amanda Toler,courses.json,0.9
87,962,Elicia Gray,courses.json,0.9
88,596,Alberta Madrid,courses.json,0.9
89,1224,Keri Rowe,courses.json,0.9
90,1193,Isaac King,courses.json,0.9
91,5511,Caroline Johnson,courses.json,0.9
92,921,Becca Lloyd,courses.json,0.9
93,547,Erik Yingling,courses.json,0.9
94,531,Kenneth Hartvigsen,courses.json,0.9
95,466,Christine Hale,courses.json,0.9
96,1034,Natalie Vaieland,courses.json,0.9
97,869,James Swensen,courses.json,0.9
98,1042,Cheri Pitcher,courses.json,0.9
99,770,Kalisha Grimsman,courses.json,0.9
100,1622,Elliott Wise,courses.json,0.9
101,1013,Angela Wescott,courses.json,0.9
102,2694,Janalee Emmer,courses.json,0.9
103,5537,Heather Belnap,courses.json,0.9
104,866,Allen Christenson,courses.json,0.9
105,2458,Rex Nielson,courses.json,0.9
106,1509,Timothy Davis,courses.json,0.9
107,1468,Marc Yamada,courses.json,0.9
108,1740,Jennifer Wakeland,courses.json,0.9
109,411,Samond Bishara,courses.json,0.9
110,1425,Paul Erwin,courses.json,0.9
111,5528,Laurel Stimpson,courses.json,0.9
112,4587,James Martin,courses.json,0.9
113,84,Charity Harding,courses.json,0.9
114,1020,Emily McDougal,courses.json,0.9
115,2002,Marlene Malm,courses.json,0.9
116,1299,Sam Farley,courses.json,0.9
117,8,Marci Adams,courses.json,0.9
118,1777,Megan Nordquist,courses.json,0.9
119,464,Jamie Jensen,courses.json,0.9
120,5405,Mark Petersen,courses.json,0.9
121,233,Tyler Kummer,courses.json,0.9
122,1225,Riley Nelson,courses.json,0.9
123,227,Kristian Cook,courses.json,0.9
124,1096,Steven Leavitt,courses.json,0.9
125,1682,Samuel Payne,courses.json,0.9
126,981,Stephen Piccolo,courses.json,0.9
127,674,Richard Gill,courses.json,0.9
128,1173,Blaine Griffen,courses.json,0.9
129,2593,Clinton Whipple,courses.json,0.9
130,508,Russell Rader,courses.json,0.9
131,937,Leigh Johnson,courses.json,0.9
132,50,John Sproul,courses.json,0.9
133,90,Liz Bailey,courses.json,0.9
134,1063,Lindsey Hale,courses.json,0.9
135,949,Jerry Johnson,courses.json,0.9
136,847,Mark Belk,courses.json,0.9
137,1183,Matt Bailey,courses.json,0.9
138,2765,Josh Stowers,courses.json,0.9
139,678,Steven Peck,courses.json,0.9
140,946,Byron Adams,courses.json,0.9
141,2091,Keoni Kauwe,courses.json,0.9
142,1527,Perry Ridge,courses.json,0.9
143,964,Michael Whiting,courses.json,0.9
144,5389,Anne Thomas,courses.json,0.9
145,1401,Rachel Wood,courses.json,0.9
146,5434,Alison Whiting,courses.json,0.9
147,1002,Seth Bybee,courses.json,0.9
148,44,Duane Dougal,courses.json,0.9
149,988,Angela Jones,courses.json,0.9
150,322,Gordon Bean,courses.json,0.9
151,4700,Bruce Hansen,courses.json,0.9
152,992,Steve Richardson,courses.json,0.9
153,3003,Brendan Hatch,courses.json,0.9
154,123,Andrew Cluff,courses.json,0.9
155,182,Steven Giles,courses.json,0.9
156,96,Tom Stephens,courses.json,0.9
157,860,Bryce Perkins,courses.json,0.9
158,1043,Jake Rhodes,courses.json,0.9
159,1846,Dennis Ng,courses.json,0.9
160,1175,Chris Archibald,courses.json,0.9
161,1639,Mark Clement,courses.json,0.9
162,305,Eric Mercer,courses.json,0.9
163,5075,Dylan Barton,courses.json,0.9
164,2782,Mike P Jones,courses.json,0.9
165,359,Cory Barker,courses.json,0.9
166,956,Jerod Wilkerson,courses.json,0.9
167,884,Lee Jensen,courses.json,0.9
168,1708,Amanda Hughes,courses.json,0.9
169,1824,Quinn Snell,courses.json,0.9
170,1192,David Grimsman,courses.json,0.9
171,324,Casey Deccio,courses.json,0.9
172,2520,Kimball Germane,courses.json,0.9
173,970,Jonathan Sillito,courses.json,0.9
174,2147,Glenn Judd,courses.json,0.9
175,3787,Scott Larsen,courses.json,0.9
176,309,Michael Reynolds,courses.json,0.9
